ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
17561,2600,26,13150.0,505.7692307692308,50.0,2018-06-30,2000-04-03,0.0,0.0,0.0,0.0
16352,372,10,12750.0,1275.0,500.0,2024-08-05,2003-06-23,0.0,0.0,1.0,500.0
40706,2625,13,12705.0,977.3076923076923,200.0,2018-06-05,2013-03-13,0.0,0.0,0.0,0.0
36134,777,22,12675.0,576.1363636363636,1000.0,2023-06-27,2000-06-16,0.0,0.0,0.0,0.0
18158,2615,21,12550.0,597.6190476190476,1000.0,2018-06-15,2000-06-26,0.0,0.0,0.0,0.0
41267,5970,16,12500.0,781.25,1000.0,2009-04-08,2002-06-19,0.0,0.0,0.0,0.0
15282,9024,1,12500.0,12500.0,12500.0,2000-11-27,2000-11-27,0.0,0.0,0.0,0.0
17986,6480,11,12400.0,1127.2727272727273,6000.0,2007-11-15,2000-06-16,0.0,0.0,0.0,0.0
20618,782,13,12300.0,946.1538461538462,500.0,2023-06-22,2001-01-08,0.0,0.0,0.0,0.0
18520,4065,13,12100.0,930.7692307692307,1000.0,2014-06-26,2000-06-26,0.0,0.0,0.0,0.0
18177,806,17,11950.0,702.9411764705883,10000.0,2023-05-29,2000-06-26,0.0,0.0,0.0,0.0
48464,1475,26,11900.0,457.6923076923077,200.0,2021-07-29,2007-06-29,0.0,0.0,0.0,0.0
19774,1530,18,11380.0,632.2222222222222,1000.0,2021-06-04,2000-01-31,0.0,0.0,0.0,0.0
16993,5628,12,11050.0,920.8333333333334,10000.0,2010-03-16,2000-06-09,0.0,0.0,0.0,0.0
15134,2253,20,10950.0,547.5,500.0,2019-06-12,2000-08-07,0.0,0.0,0.0,0.0
14642,8505,6,10750.0,1791.6666666666667,5000.0,2002-04-30,2000-01-17,0.0,0.0,0.0,0.0
