Month,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor,avg_donations_per_donor
2017-06,295261.13,268,272,1085.5188602941178,1101.7206343283583,1.0149253731343284
2017-05,42576.86,141,142,299.83704225352113,301.9635460992908,1.0070921985815602
2017-04,28270.0,10,13,2174.6153846153848,2827.0,1.3
2017-03,21685.0,49,53,409.1509433962264,442.55102040816325,1.0816326530612246
2017-02,57577.0,199,200,287.885,289.3316582914573,1.0050251256281406
2017-01,51060.0,4,4,12765.0,12765.0,1.0
2016-12,1464.9,5,5,292.98,292.98,1.0
2016-11,27978.07,8,9,3108.6744444444444,3497.25875,1.125
2016-10,17330.0,13,13,1333.076923076923,1333.076923076923,1.0
2016-09,11637.49,48,48,242.44770833333334,242.44770833333334,1.0
2016-08,46510.0,122,123,378.130081300813,381.2295081967213,1.0081967213114753
2016-07,151583.5,62,63,2406.0873015873017,2444.8951612903224,1.0161290322580645
2016-06,177180.0,282,283,626.077738515901,628.2978723404256,1.00354609929078
2016-05,32140.0,126,127,253.0708661417323,255.0793650793651,1.007936507936508
2016-04,50490.0,111,114,442.89473684210526,454.86486486486484,1.027027027027027
2016-03,11600.0,46,48,241.66666666666666,252.17391304347825,1.0434782608695652
2016-02,14200.0,62,62,229.03225806451613,229.03225806451613,1.0
2016-01,31300.0,4,4,7825.0,7825.0,1.0
2015-12,4778.0,12,12,398.1666666666667,398.1666666666667,1.0
2015-11,1294.0,6,6,215.66666666666666,215.66666666666666,1.0
2015-10,53106.42,33,35,1517.3262857142856,1609.2854545454545,1.0606060606060606
2015-09,61582.0,163,166,370.9759036144578,377.8036809815951,1.01840490797546
2015-08,6594.0,24,24,274.75,274.75,1.0
2015-07,15124.14,15,15,1008.276,1008.276,1.0
2015-06,180108.0,361,375,480.288,498.9141274238227,1.0387811634349031
2015-05,45760.0,5,5,9152.0,9152.0,1.0
2015-04,78939.28,200,202,390.78851485148516,394.6964,1.01
2015-03,250000.0,1,1,250000.0,250000.0,1.0
2015-02,400.0,2,2,200.0,200.0,1.0
