ID,Recency,Frequency,Monetary,RFM_Segment
16950,8569,1,3333.33,Regular
18743,784,7,3300.0,Champion
19138,1517,15,3300.0,Champion
55737,1869,17,3300.0,Champion
27475,6264,8,3300.0,Regular
15843,1148,20,3290.0,Champion
41372,1517,6,3270.0,Champion
12598,5164,5,3250.0,Regular
15337,1146,26,3250.0,Champion
25347,3704,18,3250.0,Regular
35777,3330,19,3250.0,Regular
64185,1443,16,3240.0,Champion
44164,5501,11,3200.0,Regular
16323,3331,6,3200.0,Regular
56878,796,4,3200.0,Champion
68276,994,4,3200.0,Champion
17676,6619,5,3200.0,Regular
17544,1517,9,3175.0,Champion
15820,6620,13,3150.0,Regular
21347,6266,2,3100.0,Regular
31397,8079,4,3100.0,Regular
66236,1173,18,3064.0,Champion
17943,7348,6,3050.0,Regular
36045,5754,11,3050.0,Regular
66300,1517,2,3025.0,High Potential
15728,2540,15,3000.0,Regular
19880,4066,15,3000.0,Regular
54166,6831,1,3000.0,Regular
53939,6880,1,3000.0,Regular
15724,3611,15,3000.0,Regular
49845,2212,15,3000.0,Champion
23672,1076,15,3000.0,Champion
77346,771,3,3000.0,Loyal
19755,5522,8,3000.0,Regular
60078,4858,3,3000.0,Regular
42756,6993,2,3000.0,Regular
63228,2538,15,3000.0,Regular
17029,1517,16,3000.0,Champion
15125,2892,15,3000.0,Regular
23758,2295,15,3000.0,Champion
13323,8450,3,3000.0,Regular
18026,9182,1,3000.0,Regular
23910,4747,5,3000.0,Regular
66181,1472,15,3000.0,Champion
18149,4722,5,3000.0,Regular
65199,1140,15,3000.0,Champion
57964,1651,5,3000.0,Champion
15308,1813,24,2990.0,Champion
15580,3589,13,2965.0,Regular
37086,5894,14,2950.0,Regular
58437,1091,15,2950.0,Champion
25257,7329,2,2944.5499999999997,Regular
12660,755,20,2928.0,Champion
13759,1912,10,2900.0,Champion
22726,3504,3,2900.0,Regular
71226,788,21,2835.0,Champion
68871,1455,14,2800.0,Champion
62875,2364,8,2800.0,Champion
22122,2357,8,2800.0,Champion
21520,4851,14,2800.0,Regular
